relative_delay_us,normalized_magnitude,magnitude_db,smoothed_magnitude
-3.832000000000000000e+03,6.727765500545501709e-02,-2.344258308410644531e+01,1.648681375141586025e-01
-3.828000000000000000e+03,1.154542937874794006e-01,-1.875179672241210938e+01,1.404771868433011273e-01
-3.824000000000000000e+03,1.230275928974151611e-01,-1.819994926452636719e+01,1.583330540100011119e-01
-3.820000000000000000e+03,6.500678509473800659e-02,-2.374082565307617188e+01,1.956170330052748318e-01
-3.816000000000000000e+03,1.931887716054916382e-01,-1.428036212921142578e+01,2.079759908020094028e-01
-3.812000000000000000e+03,2.000767737627029419e-01,-1.397606658935546875e+01,2.211663350792845706e-01
-3.808000000000000000e+03,1.594747751951217651e-01,-1.594615936279296875e+01,2.804519351414663242e-01
-3.804000000000000000e+03,1.700093299150466919e-01,-1.539054489135742188e+01,2.830874637324322651e-01
-3.800000000000000000e+03,2.761718928813934326e-01,-1.117641067504882812e+01,2.850779442000295760e-01
-3.796000000000000000e+03,2.025760710239410400e-01,-1.386823654174804688e+01,2.986996481461741126e-01
-3.792000000000000000e+03,2.071665227413177490e-01,-1.367360877990722656e+01,2.859059921906783597e-01
-3.788000000000000000e+03,2.079929411411285400e-01,-1.363902854919433594e+01,2.576333086203371203e-01
-3.784000000000000000e+03,1.244405284523963928e-01,-1.810076332092285156e+01,2.277217863002815867e-01
-3.780000000000000000e+03,1.754694581031799316e-01,-1.511596870422363281e+01,1.767146135799222140e-01
-3.776000000000000000e+03,9.603637456893920898e-02,-2.035128593444824219e+01,1.780809805149006220e-01
-3.772000000000000000e+03,2.548774890601634979e-02,-3.187336921691894531e+01,2.036011356477126777e-01
-3.768000000000000000e+03,2.128597050905227661e-01,-1.343813037872314453e+01,1.677420569792692495e-01
-3.764000000000000000e+03,2.153389304876327515e-01,-1.333754920959472656e+01,1.525079973355873142e-01
-3.760000000000000000e+03,4.774558916687965393e-02,-2.642133522033691406e+01,1.628355159329278046e-01
-3.756000000000000000e+03,4.177527502179145813e-02,-2.758161354064941406e+01,1.279330369879288776e-01
-3.752000000000000000e+03,6.227259337902069092e-02,-2.411405944824218750e+01,1.084132129094719510e-01
-3.748000000000000000e+03,8.854307979345321655e-02,-2.105690765380859375e+01,1.556294032817798489e-01
-3.744000000000000000e+03,1.458126753568649292e-01,-1.672409439086914062e+01,1.832130641649998004e-01
-3.740000000000000000e+03,2.159215360879898071e-01,-1.331408023834228516e+01,1.692431129461300088e-01
-3.736000000000000000e+03,1.400235295295715332e-01,-1.707597923278808594e+01,1.674261921171903700e-01
-3.732000000000000000e+03,1.251403056085109711e-02,-3.805205535888671875e+01,1.798435797623874344e-01
-3.728000000000000000e+03,8.207152038812637329e-02,-2.171615219116210938e+01,1.490437011797101918e-01
-3.724000000000000000e+03,1.900412738323211670e-01,-1.442304134368896484e+01,1.699593319843336892e-01
-3.720000000000000000e+03,1.062176674604415894e-01,-1.947606468200683594e+01,2.295957919595130459e-01
-3.716000000000000000e+03,2.145214080810546875e-01,-1.337058830261230469e+01,2.381559205972898496e-01
-3.712000000000000000e+03,2.249288409948348999e-01,-1.295909786224365234e+01,1.875792300417211678e-01
-3.708000000000000000e+03,1.125612258911132812e-01,-1.897222328186035156e+01,2.136031896556962739e-01
-3.704000000000000000e+03,9.895803406834602356e-03,-4.009098052978515625e+01,1.774362221038439658e-01
-3.700000000000000000e+03,1.989105343818664551e-01,-1.402684402465820312e+01,1.307393321607681347e-01
-3.696000000000000000e+03,8.570089191198348999e-02,-2.134029388427734375e+01,1.675088532105813433e-01
-3.692000000000000000e+03,5.860255286097526550e-02,-2.464166831970214844e+01,2.460333311898838526e-01
-3.688000000000000000e+03,2.435279339551925659e-01,-1.226902484893798828e+01,2.348881466570043597e-01
-3.684000000000000000e+03,2.895864844322204590e-01,-1.076443481445312500e+01,2.435288341435974668e-01
-3.680000000000000000e+03,1.592133045196533203e-01,-1.596041297912597656e+01,2.858269080507428450e-01
-3.676000000000000000e+03,1.164775341749191284e-01,-1.867515754699707031e+01,2.883701888947001746e-01
-3.672000000000000000e+03,2.092610150575637817e-01,-1.358623409271240234e+01,2.810333595126123796e-01
-3.668000000000000000e+03,2.525866627693176270e-01,-1.195179176330566406e+01,2.589822865412365061e-01
-3.664000000000000000e+03,2.634539604187011719e-01,-1.158590507507324219e+01,2.631082375067295698e-01
-3.660000000000000000e+03,8.067117631435394287e-02,-2.186563301086425781e+01,2.455175460064306925e-01
-3.656000000000000000e+03,1.311734616756439209e-01,-1.764307975769042969e+01,2.016456031658571124e-01
-3.652000000000000000e+03,1.466059982776641846e-01,-1.667696380615234375e+01,1.867871309562459670e-01
-3.648000000000000000e+03,9.632235020399093628e-02,-2.032545852661132812e+01,1.866268604318002122e-01
-3.644000000000000000e+03,2.105306386947631836e-01,-1.353369331359863281e+01,2.336476497856229684e-01
-3.640000000000000000e+03,8.010032027959823608e-02,-2.192731475830078125e+01,2.038275970683156024e-01
-3.636000000000000000e+03,2.986534237861633301e-01,-1.049664974212646484e+01,1.971577711917416875e-01
