Scenario,Peak-to-Mean Ratio,Mean Floor,Mean Delay (us),RMS Delay Spread (us)
Baseline LOS,2.214048064291799,0.4516613781452179,2.5474153587514143,2313.474646542569
LOS 3 ft,6.750917314353618,0.14812801778316498,-1033.0071020421112,1270.006373054539
LOS 5.25 ft,10.438071062722734,0.0958031415939331,-967.4966312121013,1953.824704214685
NLOS Obstructed,4.791165885784444,0.2087174654006958,-226.5442583050359,1623.4940513855784
Repeatability,1.993899888185995,0.5015296936035156,-1.099570980020938,2301.5823293192298
