Scenario,Peak-to-Mean Ratio,RMS Delay Spread (us),Mean Floor,Mean Delay (us)
Indoor 15 ft,7.545212745666504,118.81044321037538,0.13253436982631683,-23.135378587244485
Outdoor LOS,4.165839195251465,100.49822905263032,0.24004767835140228,13.984678888423987
Outdoor Obstructed,6.266904354095459,109.46771338370571,0.1595684140920639,-12.823376624488235
