Scenario,Peak-to-Mean Ratio,RMS Delay Spread (us),Mean Floor
Baseline LOS,16.349239903126573,111.34740364252906,0.06116492301225662
Cardboard,16.711452257224387,115.23622749160226,0.05983920395374298
Wood,15.84602811883768,110.85975463377777,0.06310729682445526
Human,28.156946057980928,114.03285229365109,0.03551521524786949
Aluminum,24.934261847184754,109.80108521419245,0.04010545834898949
