Distance,Peak-to-Mean Ratio,RMS Delay Spread (us),Mean Floor
6 ft,6.051748752593994,114.31931086096114,0.16524149477481842
10 ft,4.197476863861084,105.17896678314418,0.2382383495569229
15 ft,7.545212745666504,118.81044321037538,0.13253436982631683
